,Message,Tweet Favorite Count,Retweet Count,Created At,Username,User Description,Following,Followers,Location
0,Trump's latest Fed moves are another step in trying to take control of interest rates https://t.co/qz0NVlCMFN,3,0,2019-07-03 16:07:43,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
1,The racial gap in Americans’ life expectancy is as small as it’s ever been. @imkahloon examines what’s been making… https://t.co/alpYxTGFgZ,6,1,2019-07-03 16:04:02,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828968,London
2,"Walmart said to lose over $1B, weighs selling off money-losing online units https://t.co/6xOXIUilN1 by… https://t.co/gZTcuYSg7R",5,2,2019-07-03 16:03:52,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
3,"Job creation had another rough month in June as private payrolls rise by just 102,000, missing  Wall Street expecta… https://t.co/0tw37UBbs2",3,1,2019-07-03 16:03:00,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
4,Boeing pledges $100 million for families affected by deadly 737 Max crashes https://t.co/u1wp05oOVa by @ScottGamm https://t.co/tFaGkQz5lB,3,1,2019-07-03 16:02:57,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
5,AOC accuses Trump of provoking border crisis to ‘squeeze out money for a wall’ https://t.co/hiDwxr1C50 by @MaxZahn_ https://t.co/DtkdMAHZip,4,1,2019-07-03 16:02:00,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
6,A new rule taking effect will prohibit states from automatically collecting dues from home-care workers’ paychecks. https://t.co/wOeHa6MlzO,0,1,2019-07-03 16:00:52,Real Time Economics,Economic insight from The Wall Street Journal. Want more? Sign up for our daily Real Time Economics newsletter: https://t.co/HX7UM0pmuK,97,780550,"Washington, D.C."
7,"Own Tesla for Elon Musk, not the fundamentals, says investor @JouleCIO $TSLA (via @TradingNation) https://t.co/CUkAer2Szr",10,3,2019-07-03 16:00:42,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
8,"With her debut book ""Three Women,"" journalist Lisa Taddeo has created a work of nonfiction that unfolds like an int… https://t.co/LxoxVN6X0c",13,2,2019-07-03 16:00:05,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706162,"New York, NY"
9,.@NoBickal added another accolade to his legendary @pennstateWREST  career when he was named the 2018-19 Jesse Owen… https://t.co/fjC64cbNBf,11,1,2019-07-03 16:00:03,Onward State,"Onward State is an independent, student-run Penn State news site that works to generate honest conversation in the hopes of enriching the Penn State community.",3588,153412,"State College, PA"
10,Quote of the Week by @EmilyJMossburg. #QOTW #WednesdayWisdom #cyberjobs @SCmagazine https://t.co/dy5ooTOkwM https://t.co/hFW6hyY7f4,1,0,2019-07-03 16:00:01,Deloitte US,"At Deloitte, we help clients identify unrealized opportunities and illuminate new ways to adapt to change. #LookAgain",2763,120822,United States
11,The not-so-sweet truth behind vanilla production https://t.co/B9srIfwdzg From @1843mag,27,16,2019-07-03 15:56:02,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828968,London
12,32 pounds of rat meat seized at Chicago airport https://t.co/6aIdqehPRR,15,5,2019-07-03 15:50:51,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
13,"""We are facing a future in limbo,"" writes Abraham Jiménez Enoa. ""Either the dictatorship falls, or the island will… https://t.co/9qDePo9VlH",3,0,2019-07-03 15:50:05,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
14,Former White House communications director Anthony Scaramucci predicts a landslide re-election for President Donald… https://t.co/yWPHxp7bhy,29,10,2019-07-03 15:48:51,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
15,"Chinese buyer inquiries for U.S. properties decreased in the first quarter of this year, according to a Chinese for… https://t.co/rSmQhcccIw",11,5,2019-07-03 15:48:00,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
16,Anthony Scaramucci predicts a 'resounding' 40-state landslide for Trump in the 2020 election https://t.co/1n3BTk5n6w,46,20,2019-07-03 15:46:15,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
17,Boeing pledges $100 million in financial support to families and communities affected by two fatal 737 MAX crashes https://t.co/7aJVWZVpW7,45,30,2019-07-03 15:45:36,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706162,"New York, NY"
18,"The red tide isn’t a new phenomenon, but its frequency and severity have gotten worse thanks to pollution and risin… https://t.co/YGXQpkEsqy",47,34,2019-07-03 15:45:02,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706162,"New York, NY"
19,"Almost 200 UN personnel have been killed in Mali since 2013, making it one of the organisation’s most deadly recent… https://t.co/LDSGmPnvny",42,15,2019-07-03 15:43:32,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828968,London
20,Taylor Swift's attorney says singer wasn't given chance to buy back her masters https://t.co/tkWybAKeB8,10,3,2019-07-03 15:43:24,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
21,RT @SamRo: Boeing announces $100 million in funds to address family and community needs of those affected by the tragic accidents of Lion A…,0,5,2019-07-03 15:38:43,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
22,New post-debate poll says Biden still has edge on Harris and other 2020 rivals https://t.co/n7Tpj8Vsh3,2,4,2019-07-03 15:38:32,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
23,"""One in 1,000 fetuses have this condition. We had no warning signs. No indications. No idea this was coming. ... We… https://t.co/2tqnGPw2Do",12,7,2019-07-03 15:36:11,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
24,Boeing sets aside $100 million for families of 737 Max crash victims https://t.co/2O7H1mykzW,20,13,2019-07-03 15:35:53,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
25,Why you should immediately bubble wrap your investment portfolio https://t.co/szf6KHHu8D by @BrianSozzi https://t.co/CYcj2LBGqY,3,3,2019-07-03 15:33:47,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
26,RT @CNBCnow: BREAKING: Boeing sets aside $100M for victims of 737 Max crashes. https://t.co/rKqHU7ksyT,0,59,2019-07-03 15:33:34,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
27,Mortgage rates tick higher as difficult questions face veterans https://t.co/1Enov9HpXd,7,4,2019-07-03 15:31:01,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
28,"Highlight: Fentanyl suppliers ""would ship these drugs through other countries ... or they would brand themselves as… https://t.co/erwm4zGYfq",1,3,2019-07-03 15:30:09,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
29,"The loss of top Tour de France contender Chris Froome throws chaos into a race that’s become predictable, writes… https://t.co/ISGHnKKEVj",28,10,2019-07-03 15:30:02,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706162,"New York, NY"
30,Christine Lagarde's nomination to run the ECB comes as central bankers face challenges on a number of fronts https://t.co/OpmyoCsdvg,2,0,2019-07-03 15:28:41,Real Time Economics,Economic insight from The Wall Street Journal. Want more? Sign up for our daily Real Time Economics newsletter: https://t.co/HX7UM0pmuK,97,780550,"Washington, D.C."
31,Trump accuses Europe and China of manipulating currencies https://t.co/QDSqQ0FfUo,11,12,2019-07-03 15:27:23,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
32,"Stock buybacks declined last quarter, but it's not time to panic yet https://t.co/1ho7nZrLLA",28,10,2019-07-03 15:25:32,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
33,"In a major break with tradition, Donald Trump is putting himself at the centre of the action on July 4th https://t.co/MzjL1s5PlC",49,22,2019-07-03 15:23:29,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828968,London
34,Estimating the wrong salary target could ruin your chances at a new position. https://t.co/tseCUoUYlT,36,15,2019-07-03 15:21:03,Harvard Business Review,The leading destination for smart management thinking.,204,5433033,"Boston, MA"
35,"Automobile icon Lee Iacocca, who was best known for saving Chrysler and introducing the minivan, has died at the ag… https://t.co/W8PYV1UeEX",21,17,2019-07-03 15:21:00,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
36,Christine Lagarde a 'dangerous look' for ECB https://t.co/HXzvNXpy3j by @edmundheaphy via @YahooFinanceUK https://t.co/xcgQV5xGH0,2,6,2019-07-03 15:20:07,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
37,RT @PesceNic: Customers burned by the Fyre Festival that never happened can now buy the island paradise that was promised. https://t.co/4Vd…,0,3,2019-07-03 15:19:45,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
38,"RT @BloombergCA: Bruce Linton was ousted as CEO of the world's biggest pot company today.

@susanberfield &amp; @KristineOwram profiled him for…",0,9,2019-07-03 15:19:10,Bloomberg,The first word in business news.,1253,5417545,New York and the World
39,What will monetary policy look like under Christine Lagarde? https://t.co/lpZvjRGksX,35,21,2019-07-03 15:18:55,Bloomberg,The first word in business news.,1253,5417545,New York and the World
40,Will the anger that the president has so successfully fanned now turn against him? asks @edsall https://t.co/94CwAghn1M,2,1,2019-07-03 15:18:30,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
41,"Service side of U.S. economy grows at slowest pace in almost 2 years, ISM says https://t.co/QOVDY5R19H",3,7,2019-07-03 15:18:28,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
42,"Mayor in Arizona says her city will honor Nike commitment, state governor wants to yank funding https://t.co/g6VFEvtBML",12,5,2019-07-03 15:17:50,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
43,Trump says China and Europe are playing a “big currency manipulation game” and “pumping money into their system” to… https://t.co/5tLuqQqauc,29,24,2019-07-03 15:16:31,Bloomberg,The first word in business news.,1253,5417545,New York and the World
44,"Consumer stocks are on fire, but options traders think the staples are about to cool off https://t.co/oMzSWiybw5",8,4,2019-07-03 15:15:36,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
45,Reminder: Stock and bond trading closes early today for Fourth of July holiday https://t.co/qYnIlbYPpw,6,9,2019-07-03 15:15:30,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
46,The Department of Veterans Affairs is trying a new approach to understand its patients: Ask them their life stories https://t.co/zXQwUxB5w1,49,9,2019-07-03 15:15:05,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706162,"New York, NY"
47,RT @chernandburn: LINTON OUT https://t.co/0sXTeaKdjb,0,2,2019-07-03 15:14:33,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
